created_at,week_start_utc,month_utc,song,project_id,provider,stage,model,cost_usd,duration_ms,error
2026-04-16T04:28:31+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1-fast-generate-001,0.8,89790,
2026-04-16T04:31:28+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation failed — no video in response
2026-04-16T04:31:56+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,generate-shot-start-frame,gemini-3-pro-image-preview,0.04,25427,
2026-04-16T04:33:09+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation failed — no video in response
2026-04-16T04:33:28+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation failed — no video in response
2026-04-16T04:34:23+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,generate-shot-start-frame,gemini-3-pro-image-preview,0.04,29560,
2026-04-16T04:36:06+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation failed — no video in response
2026-04-16T04:43:37+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1-fast-generate-001,0.8,65358,
2026-04-16T10:42:34.817149+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation failed — no video in response
2026-04-16T11:22:20.425439+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,generate-end-frame,gemini-3-pro-image-preview,0.04,30786,
2026-04-16T11:23:02.37459+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1-generate-preview,1.6,55251,
2026-04-16T11:23:28.278694+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation returned no video (unknown). Model: veo-3.1-generate-preview
2026-04-16T11:23:30.166096+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1,0,,Video generation returned no video (unknown). Model: veo-3.1-generate-preview
2026-04-16T11:23:48.696525+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,generate-shot-start-frame,gemini-3-pro-image-preview,0.04,37866,
2026-04-16T11:24:42.554025+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-preview
2026-04-16T11:25:54.983701+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-preview
2026-04-16T11:34:04.795823+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-preview
2026-04-16T12:40:24.026346+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-001
2026-04-16T12:42:31.984346+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-001
2026-04-16T12:43:35.344676+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,Video generation returned no video (unknown). Model: veo-3.1-fast-generate-001
2026-04-16T15:19:08.290013+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.0-fast,0,,"Segmind veo-3.1-fast failed (500): {
  ""error"": ""Video generation failed: {'code': 3, 'message': 'The input image contains content that has been blocked by your current safety settings for person/face generation. If you think this was "
2026-04-16T15:37:07.741193+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,generate-shot-video,veo-3.1-fast,0.8,95685,
2026-04-17T04:55:46.505448+00:00,2026-04-13,2026-04,Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,generate-looks,gemini-3-pro-image-preview,0.04,26361,
2026-04-18T04:55:04.851263+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,25268,
2026-04-18T04:55:05.64266+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,26207,
2026-04-18T04:55:06.47578+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,27286,
2026-04-18T05:00:06.783982+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,21847,
